PassengerId,Survived,Age,SibSp
271,0,,0
272,1,25.0,0
273,1,41.0,0
274,0,37.0,0
275,1,,0
276,1,63.0,1
277,0,45.0,0
278,0,,0
279,0,7.0,4
280,1,35.0,1
281,0,65.0,0
282,0,28.0,0
283,0,16.0,0
284,1,19.0,0
285,0,,0
286,0,33.0,0
287,1,30.0,0
288,0,22.0,0
289,1,42.0,0
290,1,22.0,0
291,1,26.0,0
292,1,19.0,1
293,0,36.0,0
294,0,24.0,0
295,0,24.0,0
296,0,,0
297,0,23.5,0
298,0,2.0,1
299,1,,0
300,1,50.0,0
301,1,,0
302,1,,2
303,0,19.0,0
304,1,,0
305,0,,0
306,1,0.92,1
307,1,,0
308,1,17.0,1
309,0,30.0,1
310,1,30.0,0
311,1,24.0,0
312,1,18.0,2
313,0,26.0,1
314,0,28.0,0
315,0,43.0,1
316,1,26.0,0
317,1,24.0,1
318,0,54.0,0
319,1,31.0,0
320,1,40.0,1
321,0,22.0,0
322,0,27.0,0
323,1,30.0,0
324,1,22.0,1
325,0,,8
326,1,36.0,0
327,0,61.0,0
328,1,36.0,0
329,1,31.0,1
330,1,16.0,0
331,1,,2
332,0,45.5,0
333,0,38.0,0
334,0,16.0,2
335,1,,1
336,0,,0
337,0,29.0,1
338,1,41.0,0
339,1,45.0,0
340,0,45.0,0
341,1,2.0,1
342,1,24.0,3
343,0,28.0,0
344,0,25.0,0
345,0,36.0,0
346,1,24.0,0
347,1,40.0,0
348,1,,1
349,1,3.0,1
350,0,42.0,0
351,0,23.0,0
352,0,,0
353,0,15.0,1
354,0,25.0,1
355,0,,0
356,0,28.0,0
357,1,22.0,0
358,0,38.0,0
359,1,,0
360,1,,0
361,0,40.0,1
362,0,29.0,1
363,0,45.0,0
364,0,35.0,0
365,0,,1
366,0,30.0,0
367,1,60.0,1
368,1,,0
369,1,,0
370,1,24.0,0
371,1,25.0,1
372,0,18.0,1
373,0,19.0,0
374,0,22.0,0
375,0,3.0,3
376,1,,1
377,1,22.0,0
378,0,27.0,0
379,0,20.0,0
380,0,19.0,0
381,1,42.0,0
382,1,1.0,0
383,0,32.0,0
384,1,35.0,1
385,0,,0
386,0,18.0,0
387,0,1.0,5
388,1,36.0,0
389,0,,0
390,1,17.0,0
391,1,36.0,1
392,1,21.0,0
393,0,28.0,2
394,1,23.0,1
395,1,24.0,0
396,0,22.0,0
397,0,31.0,0
398,0,46.0,0
399,0,23.0,0
400,1,28.0,0
401,1,39.0,0
402,0,26.0,0
403,0,21.0,1
404,0,28.0,1
405,0,20.0,0
406,0,34.0,1
407,0,51.0,0
408,1,3.0,1
409,0,21.0,0
410,0,,3
411,0,,0
412,0,,0
413,1,33.0,1
414,0,,0
415,1,44.0,0
416,0,,0
417,1,34.0,1
418,1,18.0,0
419,0,30.0,0
420,0,10.0,0
421,0,,0
422,0,21.0,0
423,0,29.0,0
424,0,28.0,1
425,0,18.0,1
426,0,,0
427,1,28.0,1
428,1,19.0,0
429,0,,0
430,1,32.0,0
431,1,28.0,0
432,1,,1
433,1,42.0,1
434,0,17.0,0
435,0,50.0,1
436,1,14.0,1
437,0,21.0,2
438,1,24.0,2
439,0,64.0,1
440,0,31.0,0
441,1,45.0,1
442,0,20.0,0
443,0,25.0,1
444,1,28.0,0
445,1,,0
446,1,4.0,0
447,1,13.0,0
448,1,34.0,0
449,1,5.0,2
450,1,52.0,0
451,0,36.0,1
452,0,,1
453,0,30.0,0
454,1,49.0,1
455,0,,0
456,1,29.0,0
457,0,65.0,0
458,1,,1
459,1,50.0,0
460,0,,0
461,1,48.0,0
462,0,34.0,0
463,0,47.0,0
464,0,48.0,0
465,0,,0
466,0,38.0,0
467,0,,0
468,0,56.0,0
469,0,,0
470,1,0.75,2
471,0,,0
472,0,38.0,0
473,1,33.0,1
474,1,23.0,0
475,0,22.0,0
476,0,,0
477,0,34.0,1
478,0,29.0,1
479,0,22.0,0
480,1,2.0,0
481,0,9.0,5
482,0,,0
483,0,50.0,0
484,1,63.0,0
485,1,25.0,1
486,0,,3
487,1,35.0,1
488,0,58.0,0
489,0,30.0,0
490,1,9.0,1
491,0,,1
492,0,21.0,0
493,0,55.0,0
494,0,71.0,0
495,0,21.0,0
496,0,,0
497,1,54.0,1
498,0,,0
499,0,25.0,1
500,0,24.0,0
501,0,17.0,0
502,0,21.0,0
503,0,,0
504,0,37.0,0
505,1,16.0,0
506,0,18.0,1
507,1,33.0,0
508,1,,0
509,0,28.0,0
510,1,26.0,0
511,1,29.0,0
512,0,,0
513,1,36.0,0
514,1,54.0,1
515,0,24.0,0
516,0,47.0,0
517,1,34.0,0
518,0,,0
519,1,36.0,1
520,0,32.0,0
521,1,30.0,0
522,0,22.0,0
523,0,,0
524,1,44.0,0
525,0,,0
526,0,40.5,0
527,1,50.0,0
528,0,,0
529,0,39.0,0
530,0,23.0,2
531,1,2.0,1
532,0,,0
533,0,17.0,1
534,1,,0
535,0,30.0,0
536,1,7.0,0
537,0,45.0,0
538,1,30.0,0
539,0,,0
540,1,22.0,0
541,1,36.0,0
542,0,9.0,4
543,0,11.0,4
544,1,32.0,1
545,0,50.0,1
546,0,64.0,0
547,1,19.0,1
548,1,,0
549,0,33.0,1
550,1,8.0,1
551,1,17.0,0
552,0,27.0,0
553,0,,0
554,1,22.0,0
555,1,22.0,0
556,0,62.0,0
557,1,48.0,1
558,0,,0
559,1,39.0,1
560,1,36.0,1
561,0,,0
562,0,40.0,0
563,0,28.0,0
564,0,,0
565,0,,0
566,0,24.0,2
567,0,19.0,0
568,0,29.0,0
569,0,,0
570,1,32.0,0
571,1,62.0,0
572,1,53.0,2
573,1,36.0,0
574,1,,0
575,0,16.0,0
576,0,19.0,0
577,1,34.0,0
578,1,39.0,1
579,0,,1
580,1,32.0,0
581,1,25.0,1
582,1,39.0,1
583,0,54.0,0
584,0,36.0,0
585,0,,0
586,1,18.0,0
587,0,47.0,0
588,1,60.0,1
589,0,22.0,0
590,0,,0
591,0,35.0,0
592,1,52.0,1
593,0,47.0,0
594,0,,0
595,0,37.0,1
596,0,36.0,1
597,1,,0
598,0,49.0,0
599,0,,0
600,1,49.0,1
601,1,24.0,2
602,0,,0
603,0,,0
604,0,44.0,0
605,1,35.0,0
606,0,36.0,1
607,0,30.0,0
608,1,27.0,0
609,1,22.0,1
610,1,40.0,0
611,0,39.0,1
612,0,,0
613,1,,1
614,0,,0
615,0,35.0,0
616,1,24.0,1
617,0,34.0,1
618,0,26.0,1
619,1,4.0,2
620,0,26.0,0
621,0,27.0,1
622,1,42.0,1
623,1,20.0,1
624,0,21.0,0
625,0,21.0,0
626,0,61.0,0
627,0,57.0,0
628,1,21.0,0
629,0,26.0,0
630,0,,0
631,1,80.0,0
632,0,51.0,0
633,1,32.0,0
634,0,,0
635,0,9.0,3
636,1,28.0,0
637,0,32.0,0
638,0,31.0,1
639,0,41.0,0
640,0,,1
641,0,20.0,0
642,1,24.0,0
643,0,2.0,3
644,1,,0
645,1,0.75,2
646,1,48.0,1
647,0,19.0,0
648,1,56.0,0
649,0,,0
650,1,23.0,0
651,0,,0
652,1,18.0,0
653,0,21.0,0
654,1,,0
655,0,18.0,0
656,0,24.0,2
657,0,,0
658,0,32.0,1
659,0,23.0,0
660,0,58.0,0
661,1,50.0,2
662,0,40.0,0
663,0,47.0,0
664,0,36.0,0
665,1,20.0,1
666,0,32.0,2
667,0,25.0,0
668,0,,0
669,0,43.0,0
670,1,,1
671,1,40.0,1
672,0,31.0,1
673,0,70.0,0
674,1,31.0,0
675,0,,0
676,0,18.0,0
677,0,24.5,0
678,1,18.0,0
679,0,43.0,1
680,1,36.0,0
681,0,,0
682,1,27.0,0
683,0,20.0,0
684,0,14.0,5
685,0,60.0,1
686,0,25.0,1
687,0,14.0,4
688,0,19.0,0
689,0,18.0,0
690,1,15.0,0
691,1,31.0,1
692,1,4.0,0
693,1,,0
694,0,25.0,0
695,0,60.0,0
696,0,52.0,0
697,0,44.0,0
698,1,,0
699,0,49.0,1
700,0,42.0,0
701,1,18.0,1
702,1,35.0,0
703,0,18.0,0
704,0,25.0,0
705,0,26.0,1
706,0,39.0,0
707,1,45.0,0
708,1,42.0,0
709,1,22.0,0
710,1,,1
711,1,24.0,0
712,0,,0
713,1,48.0,1
714,0,29.0,0
715,0,52.0,0
716,0,19.0,0
717,1,38.0,0
718,1,27.0,0
719,0,,0
720,0,33.0,0
721,1,6.0,0
722,0,17.0,1
723,0,34.0,0
724,0,50.0,0
725,1,27.0,1
726,0,20.0,0
727,1,30.0,3
728,1,,0
729,0,25.0,1
730,0,25.0,1
731,1,29.0,0
732,0,11.0,0
733,0,,0
734,0,23.0,0
735,0,23.0,0
736,0,28.5,0
737,0,48.0,1
738,1,35.0,0
739,0,,0
740,0,,0
741,1,,0
742,0,36.0,1
743,1,21.0,2
744,0,24.0,1
745,1,31.0,0
746,0,70.0,1
747,0,16.0,1
748,1,30.0,0
749,0,19.0,1
750,0,31.0,0
751,1,4.0,1
752,1,6.0,0
753,0,33.0,0
754,0,23.0,0
755,1,48.0,1
756,1,0.67,1
757,0,28.0,0
758,0,18.0,0
759,0,34.0,0
760,1,33.0,0
761,0,,0
762,0,41.0,0
763,1,20.0,0
764,1,36.0,1
765,0,16.0,0
766,1,51.0,1
767,0,,0
768,0,30.5,0
769,0,,1
770,0,32.0,0
771,0,24.0,0
772,0,48.0,0
773,0,57.0,0
774,0,,0
775,1,54.0,1
776,0,18.0,0
777,0,,0
778,1,5.0,0
779,0,,0
780,1,43.0,0
781,1,13.0,0
782,1,17.0,1
783,0,29.0,0
784,0,,1
785,0,25.0,0
786,0,25.0,0
787,1,18.0,0
788,0,8.0,4
789,1,1.0,1
790,0,46.0,0
791,0,,0
792,0,16.0,0
793,0,,8
794,0,,0
795,0,25.0,0
796,0,39.0,0
797,1,49.0,0
798,1,31.0,0
799,0,30.0,0
800,0,30.0,1
801,0,34.0,0
802,1,31.0,1
803,1,11.0,1
804,1,0.42,0
805,1,27.0,0
806,0,31.0,0
807,0,39.0,0
808,0,18.0,0
809,0,39.0,0
810,1,33.0,1
811,0,26.0,0
812,0,39.0,0
813,0,35.0,0
814,0,6.0,4
815,0,30.5,0
816,0,,0
817,0,23.0,0
818,0,31.0,1
819,0,43.0,0
820,0,10.0,3
821,1,52.0,1
822,1,27.0,0
823,0,38.0,0
824,1,27.0,0
825,0,2.0,4
826,0,,0
827,0,,0
828,1,1.0,0
829,1,,0
830,1,62.0,0
831,1,15.0,1
832,1,0.83,1
833,0,,0
834,0,23.0,0
835,0,18.0,0
836,1,39.0,1
837,0,21.0,0
838,0,,0
839,1,32.0,0
840,1,,0
841,0,20.0,0
842,0,16.0,0
843,1,30.0,0
844,0,34.5,0
845,0,17.0,0
846,0,42.0,0
847,0,,8
848,0,35.0,0
849,0,28.0,0
850,1,,1
851,0,4.0,4
852,0,74.0,0
853,0,9.0,1
854,1,16.0,0
855,0,44.0,1
856,1,18.0,0
857,1,45.0,1
858,1,51.0,0
859,1,24.0,0
860,0,,0
861,0,41.0,2
862,0,21.0,1
863,1,48.0,0
864,0,,8
865,0,24.0,0
866,1,42.0,0
867,1,27.0,1
868,0,31.0,0
869,0,,0
870,1,4.0,1
871,0,26.0,0
872,1,47.0,1
873,0,33.0,0
874,0,47.0,0
875,1,28.0,1
876,1,15.0,0
877,0,20.0,0
878,0,19.0,0
879,0,,0
880,1,56.0,0
881,1,25.0,0
882,0,33.0,0
883,0,22.0,0
884,0,28.0,0
885,0,25.0,0
886,0,39.0,0
887,0,27.0,0
888,1,19.0,0
889,0,,1
890,1,26.0,0
891,0,32.0,0
